,City,LocType,NO2,SO2,Sampling.Date,State
254,Hyderabad,Sensitive Area,16.3,4.9,2008-06-15,Andhra Pradesh
255,Hyderabad,Sensitive Area,17.0,4.9,2008-06-17,Andhra Pradesh
256,Hyderabad,Sensitive Area,16.4,4.8,2008-06-21,Andhra Pradesh
257,Hyderabad,Sensitive Area,17.0,5.1,2008-06-23,Andhra Pradesh
258,Hyderabad,Sensitive Area,16.2,4.6,2008-06-29,Andhra Pradesh
259,Hyderabad,Sensitive Area,14.2,4.5,2008-03-07,Andhra Pradesh
260,Hyderabad,Sensitive Area,15.7,4.8,2008-05-07,Andhra Pradesh
261,Hyderabad,Sensitive Area,15.3,4.8,2008-09-07,Andhra Pradesh
262,Hyderabad,Sensitive Area,16.3,4.8,2008-11-07,Andhra Pradesh
263,Hyderabad,Sensitive Area,16.3,4.3,2008-07-15,Andhra Pradesh
264,Hyderabad,Sensitive Area,16.0,4.6,2008-07-17,Andhra Pradesh
265,Hyderabad,Sensitive Area,15.0,4.8,2008-07-21,Andhra Pradesh
266,Hyderabad,Sensitive Area,15.2,4.7,2008-07-23,Andhra Pradesh
267,Hyderabad,Sensitive Area,15.2,4.7,2008-07-29,Andhra Pradesh
268,Hyderabad,Sensitive Area,14.3,4.7,2008-03-08,Andhra Pradesh
269,Hyderabad,Sensitive Area,15.3,4.8,2008-05-08,Andhra Pradesh
270,Hyderabad,Sensitive Area,14.8,4.7,2008-11-08,Andhra Pradesh
271,Hyderabad,Sensitive Area,15.3,4.8,2008-08-14,Andhra Pradesh
272,Hyderabad,Sensitive Area,15.7,4.6,2008-08-17,Andhra Pradesh
273,Hyderabad,Sensitive Area,15.1,4.4,2008-08-19,Andhra Pradesh
274,Hyderabad,Sensitive Area,15.3,4.5,2008-08-23,Andhra Pradesh
275,Hyderabad,Sensitive Area,15.6,4.5,2008-08-27,Andhra Pradesh
276,Hyderabad,Sensitive Area,15.3,4.8,2008-08-29,Andhra Pradesh
277,Hyderabad,Sensitive Area,14.3,4.7,2008-05-09,Andhra Pradesh
278,Hyderabad,Sensitive Area,15.2,4.6,2008-09-09,Andhra Pradesh
279,Hyderabad,Sensitive Area,14.5,4.8,2008-12-09,Andhra Pradesh
280,Hyderabad,Sensitive Area,14.8,5.0,2008-09-15,Andhra Pradesh
281,Hyderabad,Sensitive Area,15.0,4.6,2008-09-17,Andhra Pradesh
282,Hyderabad,Sensitive Area,15.1,4.8,2008-09-21,Andhra Pradesh
283,Hyderabad,Sensitive Area,15.0,4.4,2008-09-22,Andhra Pradesh
284,Hyderabad,Sensitive Area,15.0,4.7,2008-09-25,Andhra Pradesh
285,Hyderabad,Sensitive Area,15.0,4.7,2008-09-27,Andhra Pradesh
286,Hyderabad,Sensitive Area,15.0,4.8,2008-03-10,Andhra Pradesh
287,Hyderabad,Sensitive Area,14.7,4.7,2008-07-10,Andhra Pradesh
288,Hyderabad,Sensitive Area,14.5,4.7,2008-11-10,Andhra Pradesh
289,Hyderabad,Sensitive Area,14.5,4.8,2008-10-15,Andhra Pradesh
290,Hyderabad,Sensitive Area,14.8,4.8,2008-10-17,Andhra Pradesh
291,Hyderabad,Sensitive Area,14.8,4.7,2008-10-19,Andhra Pradesh
292,Hyderabad,Sensitive Area,14.7,4.7,2008-10-21,Andhra Pradesh
293,Hyderabad,Sensitive Area,13.6,4.1,2008-10-27,Andhra Pradesh
294,Hyderabad,Sensitive Area,67.0,32.1,2008-10-28,Andhra Pradesh
295,Hyderabad,Sensitive Area,16.0,4.2,2008-10-29,Andhra Pradesh
296,Hyderabad,Sensitive Area,38.0,5.1,2008-03-11,Andhra Pradesh
297,Hyderabad,Sensitive Area,14.8,4.8,2008-05-11,Andhra Pradesh
298,Hyderabad,Sensitive Area,15.1,5.0,2008-09-11,Andhra Pradesh
299,Hyderabad,Sensitive Area,15.2,5.0,2008-11-19,Andhra Pradesh
300,Hyderabad,Sensitive Area,14.7,4.7,2008-11-21,Andhra Pradesh
301,Hyderabad,Sensitive Area,14.7,4.7,2008-11-23,Andhra Pradesh
302,Hyderabad,Sensitive Area,14.4,4.4,2008-11-27,Andhra Pradesh
303,Hyderabad,Sensitive Area,14.2,4.7,2008-11-29,Andhra Pradesh
304,Hyderabad,Sensitive Area,15.3,5.1,2008-03-12,Andhra Pradesh
305,Hyderabad,Sensitive Area,14.7,4.9,2008-11-12,Andhra Pradesh
306,Hyderabad,Sensitive Area,14.8,4.9,2008-12-15,Andhra Pradesh
307,Hyderabad,Sensitive Area,14.7,5.0,2008-12-17,Andhra Pradesh
308,Hyderabad,Sensitive Area,15.0,4.7,2008-12-21,Andhra Pradesh
309,Hyderabad,Sensitive Area,15.2,5.0,2008-12-23,Andhra Pradesh
310,Hyderabad,Sensitive Area,16.5,4.6,2008-12-27,Andhra Pradesh
311,Hyderabad,Sensitive Area,14.7,5.0,2008-12-29,Andhra Pradesh
312,Hyderabad,Sensitive Area,14.5,4.8,2009-03-01,Andhra Pradesh
313,Hyderabad,Sensitive Area,14.7,4.8,2009-05-01,Andhra Pradesh
314,Hyderabad,Sensitive Area,14.9,4.3,2009-11-01,Andhra Pradesh
315,Hyderabad,Sensitive Area,14.2,5.0,2009-01-15,Andhra Pradesh
316,Hyderabad,Sensitive Area,14.3,4.8,2009-01-17,Andhra Pradesh
317,Hyderabad,Sensitive Area,14.9,4.2,2009-01-21,Andhra Pradesh
318,Hyderabad,Sensitive Area,14.4,4.8,2009-01-23,Andhra Pradesh
319,Hyderabad,Sensitive Area,14.9,4.5,2009-01-27,Andhra Pradesh
320,Hyderabad,Sensitive Area,14.5,4.7,2009-01-29,Andhra Pradesh
321,Hyderabad,Sensitive Area,14.9,4.9,2009-03-02,Andhra Pradesh
322,Hyderabad,Sensitive Area,14.5,4.9,2009-05-02,Andhra Pradesh
323,Hyderabad,Sensitive Area,15.0,4.7,2009-09-02,Andhra Pradesh
324,Hyderabad,Sensitive Area,14.7,4.5,2009-11-02,Andhra Pradesh
