,Unnamed: 0,City,LocType,NO2,SO2,Sampling.Date,State,Scale_SO2,Scale_NO2
178,178,Hyderabad,Sensitive Area,14.0,4.7,2007-05-06,Andhra Pradesh,0.06359945872801083,0.014034040011943865
179,179,Hyderabad,Sensitive Area,13.9,4.7,2007-09-06,Andhra Pradesh,0.06359945872801083,0.014034040011943865
180,180,Hyderabad,Sensitive Area,12.0,4.7,2007-11-06,Andhra Pradesh,0.06359945872801083,0.014034040011943865
181,181,Hyderabad,Sensitive Area,15.9,4.7,2007-03-07,Andhra Pradesh,0.06359945872801083,0.014034040011943865
182,182,Hyderabad,Sensitive Area,16.1,4.7,2007-05-07,Andhra Pradesh,0.06359945872801083,0.014034040011943865
183,183,Hyderabad,Sensitive Area,17.8,4.4,2007-09-07,Andhra Pradesh,0.05953991880920163,0.01313825022394745
184,184,Hyderabad,Sensitive Area,16.8,4.9,2007-11-07,Andhra Pradesh,0.06630581867388363,0.014631233203941477
185,185,Hyderabad,Sensitive Area,16.6,4.7,2007-03-08,Andhra Pradesh,0.06359945872801083,0.014034040011943865
186,186,Hyderabad,Sensitive Area,24.0,4.9,2007-05-08,Andhra Pradesh,0.06630581867388363,0.014631233203941477
187,187,Hyderabad,Sensitive Area,11.9,4.7,2007-09-08,Andhra Pradesh,0.06359945872801083,0.014034040011943865
188,188,Hyderabad,Sensitive Area,15.9,4.7,2007-11-08,Andhra Pradesh,0.06359945872801083,0.014034040011943865
189,189,Hyderabad,Sensitive Area,15.7,4.7,2007-03-09,Andhra Pradesh,0.06359945872801083,0.014034040011943865
190,190,Hyderabad,Sensitive Area,16.6,4.9,2007-05-09,Andhra Pradesh,0.06630581867388363,0.014631233203941477
191,191,Hyderabad,Sensitive Area,16.5,4.7,2007-09-09,Andhra Pradesh,0.06359945872801083,0.014034040011943865
192,192,Hyderabad,Sensitive Area,14.9,4.9,2007-11-09,Andhra Pradesh,0.06630581867388363,0.014631233203941477
193,193,Hyderabad,Sensitive Area,14.5,4.7,2007-03-10,Andhra Pradesh,0.06359945872801083,0.014034040011943865
194,194,Hyderabad,Sensitive Area,16.4,4.7,2007-05-10,Andhra Pradesh,0.06359945872801083,0.014034040011943865
195,195,Hyderabad,Sensitive Area,16.8,4.7,2007-09-10,Andhra Pradesh,0.06359945872801083,0.014034040011943865
196,196,Hyderabad,Sensitive Area,16.1,4.7,2007-11-10,Andhra Pradesh,0.06359945872801083,0.014034040011943865
197,197,Hyderabad,Sensitive Area,13.6,4.9,2007-03-11,Andhra Pradesh,0.06630581867388363,0.014631233203941477
198,198,Hyderabad,Sensitive Area,16.1,4.7,2007-05-11,Andhra Pradesh,0.06359945872801083,0.014034040011943865
199,199,Hyderabad,Sensitive Area,16.8,4.9,2007-09-11,Andhra Pradesh,0.06630581867388363,0.014631233203941477
200,200,Hyderabad,Sensitive Area,16.6,4.7,2007-11-11,Andhra Pradesh,0.06359945872801083,0.014034040011943865
201,201,Hyderabad,Sensitive Area,17.0,4.7,2007-03-12,Andhra Pradesh,0.06359945872801083,0.014034040011943865
202,202,Hyderabad,Sensitive Area,17.7,4.7,2007-05-12,Andhra Pradesh,0.06359945872801083,0.014034040011943865
203,203,Hyderabad,Sensitive Area,17.0,4.7,2007-09-12,Andhra Pradesh,0.06359945872801083,0.014034040011943865
204,204,Hyderabad,Sensitive Area,16.3,4.7,2007-11-12,Andhra Pradesh,0.06359945872801083,0.014034040011943865
205,205,Hyderabad,Sensitive Area,16.4,4.8,2008-03-01,Andhra Pradesh,0.06495263870094722,0.01433263660794267
206,206,Hyderabad,Sensitive Area,16.6,5.0,2008-05-01,Andhra Pradesh,0.06765899864682003,0.014929829799940281
207,207,Hyderabad,Sensitive Area,16.7,5.0,2008-09-01,Andhra Pradesh,0.06765899864682003,0.014929829799940281
208,208,Hyderabad,Sensitive Area,15.8,4.8,2008-11-01,Andhra Pradesh,0.06495263870094722,0.01433263660794267
209,209,Hyderabad,Sensitive Area,15.9,5.0,2008-01-17,Andhra Pradesh,0.06765899864682003,0.014929829799940281
210,210,Hyderabad,Sensitive Area,16.6,4.9,2008-01-21,Andhra Pradesh,0.06630581867388363,0.014631233203941477
211,211,Hyderabad,Sensitive Area,17.7,5.0,2008-01-23,Andhra Pradesh,0.06765899864682003,0.014929829799940281
